lineLimit;blankQueryTime;;;lineLimit;blankQueryTime (rounded to seventh digit)
36000;0.0010001182556152344;;;36000;0,0010001
36100;0.0013999462127685547;;;36100;0,0013999
36200;0.001000213623046875;;;36200;0,0010002
36300;0.0009996891021728516;;;36300;0,0009997
36400;0.001000213623046875;;;36400;0,0010002
36500;0.0010000705718994141;;;36500;0,0010001
36600;0.0010014057159423828;;;36600;0,0010014
36700;0.0009998798370361329;;;36700;0,0009999
36800;0.0009996414184570313;;;36800;0,0009996
36900;0.001199960708618164;;;36900;0,0012
37000;0.0009999275207519531;;;37000;0,0009999
37100;0.001000213623046875;;;37100;0,0010002
37200;0.0009886264801025391;;;37200;0,0009886
37300;0.0009999752044677734;;;37300;0,001
37400;0.001800203323364258;;;37400;0,0018002
37500;0.001047658920288086;;;37500;0,0010477
37600;0.0010000705718994141;;;37600;0,0010001
37700;0.0010001182556152344;;;37700;0,0010001
37800;0.001200103759765625;;;37800;0,0012001
37900;0.0017961978912353516;;;37900;0,0017962
38000;0.001000213623046875;;;38000;0,0010002
38100;0.0012001514434814454;;;38100;0,0012002
38200;0.0012094497680664063;;;38200;0,0012094
38300;0.0012001514434814454;;;38300;0,0012002
38400;0.0010005950927734375;;;38400;0,0010006
38500;0.0009999275207519531;;;38500;0,0009999
38600;0.000935506820678711;;;38600;0,0009355
38700;0.001010751724243164;;;38700;0,0010108
38800;0.0012650012969970704;;;38800;0,001265
38900;0.0010001659393310547;;;38900;0,0010002
39000;0.001197671890258789;;;39000;0,0011977
39100;0.0009999752044677734;;;39100;0,001
39200;0.0012001991271972656;;;39200;0,0012002
39300;0.0009973526000976562;;;39300;0,0009974
39400;0.0009998798370361329;;;39400;0,0009999
39500;0.0011999130249023438;;;39500;0,0011999
39600;0.0009996891021728516;;;39600;0,0009997
39700;0.0018002986907958984;;;39700;0,0018003
39800;0.0010001659393310547;;;39800;0,0010002
39900;0.0010004997253417968;;;39900;0,0010005
40000;0.0009952068328857421;;;40000;0,0009952
40100;0.001000356674194336;;;40100;0,0010004
